#{"t_start": 1746033477.5858345, "env_id": "None"}
r,l,t
-5.0,10,30.915849
1.0,10,30.937642
2.0,10,30.959124
-7.0,10,30.980851
5.0,10,31.002466
3.5,10,31.02418
5.0,10,31.045937
7.0,10,31.067562
1.0,10,31.089519
-2.5,10,31.111219
0.5,10,31.133008
-1.0,10,31.154732
-1.0,10,31.176461
3.5,10,31.198717
-1.0,10,31.221018
0.5,10,31.242898
4.0,10,31.264976
5.0,10,31.286299
4.0,10,31.308788
0.5,10,31.330402
5.0,10,31.351408
2.0,10,31.373187
7.0,10,31.394837
-2.0,10,31.416691
-5.5,10,31.437683
10.0,10,31.459965
-1.0,10,31.481424
-4.0,10,31.502815
-5.0,10,31.524202
1.0,10,31.546388
1.0,10,31.568003
10.0,10,31.589209
-5.0,10,31.61021
10.0,10,31.632171
-7.0,10,31.654313
0.5,10,31.67533
1.0,10,31.697016
-5.5,10,31.718363
10.0,10,31.739671
1.0,10,31.761254
10.0,10,31.783655
2.0,10,31.805466
1.0,10,31.826907
10.0,10,31.848417
4.0,10,31.870243
1.0,10,31.891642
7.0,10,31.913256
-4.0,10,31.935374
0.5,10,31.957099
10.0,10,31.978545
-4.0,10,32.000215
2.0,10,32.021878
4.0,10,32.04382
5.0,10,32.065782
0.5,10,32.087028
0.5,10,32.10849
-2.0,10,32.130186
-8.5,10,32.151966
0.5,10,32.17359
5.0,10,32.195641
-5.5,10,32.217228
-2.5,10,32.238693
3.5,10,32.260111
-7.0,10,32.28207
4.0,10,32.304057
-8.5,10,32.325974
4.0,10,32.347939
-5.0,10,32.369476
-4.0,10,32.390944
3.5,10,32.412478
-5.5,10,32.434322
-2.0,10,32.456205
7.0,10,32.47777
-1.0,10,32.499342
1.0,10,32.520622
4.0,10,32.542354
1.0,10,32.563746
-1.0,10,32.585205
-5.0,10,32.606978
-2.5,10,32.628914
4.0,10,32.651509
-2.0,10,32.67297
-1.0,10,32.694554
-5.5,10,32.715949
-7.0,10,32.73779
5.0,10,32.75923
-11.0,10,32.780625
-8.5,10,32.802706
-4.0,10,32.824019
3.5,10,32.845426
-7.0,10,32.866973
-10.0,10,32.888313
1.0,10,32.910929
3.5,10,32.932787
-2.5,10,32.95474
4.0,10,32.97639
2.0,10,32.998296
-4.0,10,33.020087
7.0,10,33.041944
10.0,10,33.063941
-2.5,10,33.086083
5.0,10,33.109004
0.5,10,33.138082
-7.0,10,33.167421
4.0,10,33.188706
-4.0,10,33.209794
10.0,10,33.230992
-7.0,10,33.251655
-2.0,10,33.272189
5.0,10,33.292964
3.5,10,33.314006
4.0,10,33.335103
7.0,10,33.356506
-2.5,10,33.377698
-2.5,10,33.398587
2.0,10,33.419551
-5.5,10,36.267943
5.0,10,36.296329
7.0,10,36.324633
-5.0,10,36.353016
10.0,10,36.381403
1.0,10,36.409051
7.0,10,36.43653
7.0,10,36.462741
10.0,10,36.483518
-4.0,10,36.509539
5.0,10,36.539821
10.0,10,36.567764
1.0,10,36.588696
-2.0,10,36.610903
-20.0,10,36.639588
-1.0,10,36.660611
-11.0,10,36.682208
7.0,10,36.70816
4.0,10,36.731166
5.0,10,36.755296
7.0,10,36.778284
7.0,10,36.809004
-2.5,10,36.840118
5.0,10,36.86159
-11.0,10,36.882445
0.5,10,36.904194
10.0,10,36.926229
-1.0,10,36.948557
7.0,10,36.977061
5.0,10,37.006247
-1.0,10,37.0274
0.5,10,37.048873
10.0,10,37.070297
-2.5,10,37.092054
-5.0,10,37.113549
-5.5,10,37.135089
-2.0,10,37.156274
-5.5,10,37.184007
0.5,10,37.210945
3.5,10,37.232127
10.0,10,37.253377
4.0,10,37.274521
-10.0,10,37.29601
10.0,10,37.317302
-4.0,10,37.337744
-5.0,10,37.358485
7.0,10,37.379498
10.0,10,37.400415
4.0,10,37.421643
10.0,10,37.442696
0.5,10,37.463343
5.0,10,37.484271
-5.5,10,37.505499
5.0,10,37.526495
5.0,10,37.547888
-10.0,10,37.569074
-5.5,10,37.59008
-2.0,10,37.611752
4.0,10,37.633077
1.0,10,37.654786
7.0,10,37.675484
0.5,10,37.696905
4.0,10,37.718012
-4.0,10,37.739119
3.5,10,37.760026
7.0,10,37.781177
3.5,10,37.803122
-8.5,10,37.824591
-5.0,10,37.846355
-1.0,10,37.867663
1.0,10,37.888448
7.0,10,37.909733
-8.0,10,37.931083
-5.0,10,37.951661
-1.0,10,37.972949
10.0,10,37.993825
-8.5,10,38.01399
-7.0,10,38.035116
-2.5,10,38.056223
5.0,10,38.077032
0.5,10,38.098267
3.5,10,38.118953
10.0,10,38.139551
-7.0,10,38.160547
4.0,10,38.181563
7.0,10,38.2022
-8.5,10,38.22212
4.0,10,38.242162
-1.0,10,38.262001
4.0,10,38.281592
10.0,10,38.302187
-2.5,10,38.322479
-8.0,10,38.342121
4.0,10,38.361907
1.0,10,38.381791
0.5,10,38.402189
0.5,10,38.422975
0.5,10,38.442897
5.0,10,38.463387
4.0,10,38.483172
2.0,10,38.503213
-5.5,10,38.522784
-1.0,10,38.544133
0.5,10,38.565277
0.5,10,38.585838
10.0,10,38.606529
1.0,10,38.627391
1.0,10,38.648926
-5.5,10,38.669364
10.0,10,38.690111
2.0,10,38.710747
5.0,10,38.731338
4.0,10,38.752119
10.0,10,38.77293
10.0,10,38.794022
10.0,10,38.81517
-1.0,10,38.835563
5.0,10,38.856732
-5.0,10,38.878006
4.0,10,38.899049
4.0,10,38.920441
4.0,10,38.941267
7.0,10,38.962165
3.5,10,38.982641
7.0,10,39.003177
4.0,10,39.023918
-8.5,10,39.044514
-2.5,10,39.065312
3.5,10,39.086256
-2.5,10,39.107265
1.0,10,39.127806
-1.0,10,39.148513
4.0,10,39.169539
7.0,10,39.191038
-8.0,10,39.212155
7.0,10,39.232671
1.0,10,39.253459
0.5,10,39.27402
-2.0,10,39.295969
10.0,10,39.317153
-5.5,10,39.337811
3.5,10,39.358849
7.0,10,39.379855
-10.0,10,39.400633
10.0,10,39.421262
7.0,10,39.441973
3.5,10,39.463245
-2.0,10,39.484033
-8.5,10,39.504646
5.0,10,39.525179
3.5,10,39.545818
1.0,10,39.56653
10.0,10,39.587088
10.0,10,39.608213
7.0,10,39.632947
10.0,10,39.655574
-2.0,10,39.677052
1.0,10,39.699573
5.0,10,39.7212
10.0,10,39.743304
4.0,10,39.766426
7.0,10,39.789216
7.0,10,39.812536
7.0,10,39.836204
10.0,10,39.858722
10.0,10,39.88154
-5.5,10,39.903846
10.0,10,39.925118
0.5,10,39.946275
-20.0,10,39.968216
4.0,10,39.989468
10.0,10,40.011157
3.5,10,40.033818
7.0,10,40.054776
1.0,10,40.076091
7.0,10,40.098234
0.5,10,40.119809
-8.0,10,40.141409
-1.0,10,40.163252
-7.0,10,40.184744
-5.5,10,40.207703
-17.0,10,40.230039
-1.0,10,40.252188
10.0,10,40.273325
-10.0,10,40.294401
4.0,10,40.317099
-8.5,10,40.339082
10.0,10,40.360767
-1.0,10,40.383189
-5.5,10,40.404663
7.0,10,40.426346
-8.5,10,40.449192
7.0,10,40.478483
7.0,10,40.500075
7.0,10,40.521106
5.0,10,40.543686
-4.0,10,40.564915
-7.0,10,40.58596
10.0,10,40.613994
5.0,10,40.648374
7.0,10,40.677199
-1.0,10,40.705806
10.0,10,40.726769
7.0,10,40.747549
10.0,10,40.768658
7.0,10,43.350879
-5.5,10,43.373233
5.0,10,43.397827
5.0,10,43.42355
5.0,10,43.452922
2.0,10,43.478079
5.0,10,43.498775
-5.0,10,43.519747
10.0,10,43.541049
2.0,10,43.562183
1.0,10,43.583283
7.0,10,43.604241
4.0,10,43.625255
5.0,10,43.647117
2.0,10,43.6684
4.0,10,43.689671
4.0,10,43.711103
5.0,10,43.732189
7.0,10,43.75297
10.0,10,43.773892
5.0,10,43.794688
-10.0,10,43.814946
10.0,10,43.836179
10.0,10,43.856691
4.0,10,43.878821
7.0,10,43.901566
-11.0,10,43.922928
10.0,10,43.944014
2.0,10,43.964806
5.0,10,43.985512
10.0,10,44.006362
10.0,10,44.027269
5.0,10,44.048146
-1.0,10,44.069
-7.0,10,44.089579
-5.5,10,44.11022
10.0,10,44.131031
10.0,10,44.152445
-14.0,10,44.173175
10.0,10,44.194037
2.0,10,44.214829
7.0,10,44.235564
2.0,10,44.25659
5.0,10,44.276988
-1.0,10,44.29796
2.0,10,44.318698
7.0,10,44.33931
10.0,10,44.360155
1.0,10,44.383058
-2.0,10,44.403511
-8.5,10,44.426336
1.0,10,44.448443
4.0,10,44.470022
4.0,10,44.49073
3.5,10,44.51131
7.0,10,44.532061
3.5,10,44.553912
10.0,10,44.575736
10.0,10,44.597127
7.0,10,44.623535
2.0,10,44.650559
5.0,10,44.671317
4.0,10,44.692474
5.0,10,44.714226
1.0,10,44.735466
7.0,10,44.75716
-1.0,10,44.778654
5.0,10,44.800535
10.0,10,44.822398
-10.0,10,44.844012
-8.5,10,44.865132
1.0,10,44.886081
10.0,10,44.90734
4.0,10,44.928531
10.0,10,44.94962
10.0,10,44.970835
10.0,10,44.992112
-5.5,10,45.012978
4.0,10,45.034118
5.0,10,45.055145
10.0,10,45.076108
10.0,10,45.097257
10.0,10,45.117995
-1.0,10,45.139204
-2.0,10,45.160091
-14.0,10,45.18131
-2.0,10,45.203038
4.0,10,45.224173
3.5,10,45.245516
4.0,10,45.266564
-5.0,10,45.287397
10.0,10,45.30875
-10.0,10,45.32979
-1.0,10,45.350869
7.0,10,45.371562
-10.0,10,45.393054
0.5,10,45.414066
3.5,10,45.434825
-14.0,10,45.455912
1.0,10,45.477284
3.5,10,45.498485
4.0,10,45.520091
0.5,10,45.541082
-2.5,10,45.562247
-2.5,10,45.5833
-7.0,10,45.604234
-1.0,10,45.625113
-20.0,10,45.647024
10.0,10,45.667862
-10.0,10,45.688462
10.0,10,45.709134
10.0,10,45.729989
10.0,10,45.750857
5.0,10,45.771507
5.0,10,45.793123
5.0,10,45.822081
5.0,10,45.850661
10.0,10,45.87394
10.0,10,45.896242
10.0,10,45.918281
2.0,10,45.940876
-8.5,10,45.969197
7.0,10,45.996867
10.0,10,46.026855
2.0,10,46.054529
7.0,10,46.083121
10.0,10,46.105305
3.5,10,46.12711
3.5,10,46.148749
-7.0,10,46.170663
4.0,10,46.19308
-10.0,10,46.214942
7.0,10,46.236885
-4.0,10,46.258189
3.5,10,46.280259
-5.0,10,46.303248
0.5,10,46.332947
-8.5,10,46.361708
7.0,10,46.39013
5.0,10,46.412303
7.0,10,46.433942
-11.0,10,46.467627
10.0,10,46.495742
-5.5,10,46.516871
7.0,10,46.537875
-8.5,10,46.558602
3.5,10,46.580144
-8.5,10,46.601091
2.0,10,46.622754
10.0,10,46.644263
10.0,10,46.665702
5.0,10,46.687028
-5.0,10,46.707333
3.5,10,46.727447
0.5,10,46.747656
10.0,10,46.768245
-5.5,10,46.788667
-2.0,10,46.8095
-5.5,10,46.830194
10.0,10,46.851128
